reserve_assessment_id,user_id,assessed_at,healthcare_coverage_status,estimated_healthcare_exposure,emergency_health_resources,monthly_financial_obligations,number_of_dependants,current_preparedness_amount,preparedness_target,preparedness_gap,preparedness_ratio,reserve_status
HRA00002450,USR000974,2026-02-28T09:00:00,insured,732000,273000,377000,4,701000,1768000,1067000,0.396493,developing
HRA00002451,USR000974,2026-04-18T09:00:00,insured,395000,344000,512000,0,591000,1768000,1177000,0.334276,developing
HRA00002452,USR000974,2026-06-04T09:00:00,partial,763000,348000,208000,3,489000,1768000,1279000,0.276584,developing
HRA00002453,USR000974,2026-07-23T09:00:00,uninsured,455000,158000,179000,4,518000,1768000,1250000,0.292986,developing
HRA00002454,USR000975,2025-10-13T02:00:00,insured,457000,253000,501000,3,313000,600000,287000,0.521667,moderate
HRA00002455,USR000975,2025-11-29T02:00:00,uninsured,487000,309000,384000,2,348000,600000,252000,0.58,moderate
HRA00002456,USR000975,2026-01-19T02:00:00,partial,755000,351000,89000,5,393000,600000,207000,0.655,moderate
HRA00002457,USR000975,2026-03-14T02:00:00,insured,746000,485000,642000,2,406000,600000,194000,0.676667,moderate
HRA00002458,USR000975,2026-05-04T02:00:00,uninsured,53000,303000,393000,0,458000,600000,142000,0.763333,moderate
HRA00002459,USR000975,2026-06-19T02:00:00,insured,506000,169000,508000,1,482000,600000,118000,0.803333,moderate
HRA00002460,USR000975,2026-08-05T02:00:00,insured,753000,21000,606000,4,489000,600000,111000,0.815,moderate
HRA00002461,USR000976,2026-01-28T19:00:00,insured,654000,176000,306000,5,534000,1831000,1297000,0.291644,developing
HRA00002462,USR000976,2026-03-23T19:00:00,insured,693000,249000,330000,2,490000,1831000,1341000,0.267613,developing
HRA00002463,USR000976,2026-05-08T19:00:00,insured,223000,336000,621000,5,506000,1831000,1325000,0.276352,developing
HRA00002464,USR000976,2026-06-29T19:00:00,partial,65000,295000,521000,0,395000,1831000,1436000,0.215729,low
HRA00002465,USR000976,2026-08-14T19:00:00,insured,676000,481000,337000,4,385000,1831000,1446000,0.210268,low
HRA00002466,USR000977,2025-12-27T11:00:00,insured,471000,81000,327000,4,85000,624000,539000,0.136218,low
HRA00002467,USR000977,2026-02-07T11:00:00,insured,487000,196000,110000,5,82000,624000,542000,0.13141,low
HRA00002468,USR000977,2026-04-01T11:00:00,partial,144000,191000,70000,1,40000,624000,584000,0.064103,low
HRA00002469,USR000977,2026-05-23T11:00:00,insured,475000,325000,263000,2,27000,624000,597000,0.043269,low
HRA00002470,USR000977,2026-07-15T11:00:00,partial,89000,199000,441000,2,40000,624000,584000,0.064103,low
HRA00002471,USR000977,2026-09-02T11:00:00,partial,609000,308000,315000,2,68000,624000,556000,0.108974,low
HRA00002472,USR000980,2025-12-31T14:00:00,insured,367000,60000,486000,1,1278000,1758000,480000,0.726962,moderate
HRA00002473,USR000980,2026-02-22T14:00:00,partial,308000,331000,620000,2,1457000,1758000,301000,0.828783,moderate
HRA00002474,USR000980,2026-04-13T14:00:00,uninsured,76000,131000,515000,5,1679000,1758000,79000,0.955063,strong
HRA00002475,USR000980,2026-05-29T14:00:00,insured,596000,498000,421000,3,1826000,1758000,0,1.03868,strong
HRA00002476,USR000980,2026-07-22T14:00:00,uninsured,631000,175000,422000,3,2026000,1758000,0,1.152446,strong
HRA00002477,USR000980,2026-09-10T14:00:00,insured,575000,123000,585000,1,2195000,1758000,0,1.248578,strong
HRA00002478,USR000985,2026-02-15T06:00:00,insured,362000,189000,698000,5,57000,623000,566000,0.091493,low
HRA00002479,USR000985,2026-04-05T06:00:00,insured,475000,276000,549000,0,112000,623000,511000,0.179775,low
HRA00002480,USR000985,2026-05-18T06:00:00,insured,709000,309000,673000,1,156000,623000,467000,0.250401,developing
HRA00002481,USR000985,2026-07-13T06:00:00,partial,670000,14000,492000,2,229000,623000,394000,0.367576,developing
HRA00002482,USR000985,2026-08-31T06:00:00,uninsured,390000,402000,84000,1,295000,623000,328000,0.473515,developing
HRA00002483,USR000986,2025-10-16T23:00:00,insured,381000,119000,621000,3,64000,397000,333000,0.161209,low
HRA00002484,USR000986,2025-12-06T23:00:00,uninsured,657000,14000,511000,5,48000,397000,349000,0.120907,low
HRA00002485,USR000986,2026-01-20T23:00:00,partial,391000,225000,122000,1,44000,397000,353000,0.110831,low
HRA00002486,USR000986,2026-03-19T23:00:00,insured,794000,81000,136000,0,37000,397000,360000,0.093199,low
HRA00002487,USR000986,2026-05-02T23:00:00,insured,413000,87000,88000,1,35000,397000,362000,0.088161,low
HRA00002488,USR000986,2026-06-22T23:00:00,partial,191000,148000,476000,1,10000,397000,387000,0.025189,low
HRA00002489,USR000986,2026-08-15T23:00:00,insured,311000,444000,393000,3,8000,397000,389000,0.020151,low
HRA00002490,USR000988,2025-11-25T21:00:00,insured,744000,59000,336000,1,772000,1084000,312000,0.712177,moderate
HRA00002491,USR000988,2026-01-14T21:00:00,partial,596000,433000,609000,2,891000,1084000,193000,0.821956,moderate
HRA00002492,USR000988,2026-03-06T21:00:00,partial,585000,377000,311000,5,1047000,1084000,37000,0.965867,strong
HRA00002493,USR000988,2026-04-23T21:00:00,uninsured,376000,138000,426000,2,1177000,1084000,0,1.085793,strong
HRA00002494,USR000988,2026-06-17T21:00:00,insured,435000,169000,163000,3,1295000,1084000,0,1.194649,strong
HRA00002495,USR000988,2026-07-29T21:00:00,insured,658000,260000,620000,5,1398000,1084000,0,1.289668,strong
HRA00002496,USR000989,2025-12-01T05:00:00,uninsured,118000,16000,239000,3,158000,668000,510000,0.236527,low
HRA00002497,USR000989,2026-01-12T05:00:00,partial,612000,264000,54000,5,247000,668000,421000,0.36976,developing
HRA00002498,USR000989,2026-03-09T05:00:00,partial,746000,235000,327000,4,349000,668000,319000,0.522455,moderate
HRA00002499,USR000989,2026-04-22T05:00:00,insured,295000,68000,505000,0,400000,668000,268000,0.598802,moderate
HRA00002500,USR000989,2026-06-18T05:00:00,uninsured,797000,387000,435000,2,441000,668000,227000,0.66018,moderate
HRA00002501,USR000989,2026-08-08T05:00:00,uninsured,237000,128000,509000,3,467000,668000,201000,0.699102,moderate
HRA00002502,USR000990,2026-01-18T02:00:00,partial,211000,478000,629000,5,205000,2258000,2053000,0.090788,low
HRA00002503,USR000990,2026-03-12T02:00:00,uninsured,249000,454000,489000,1,494000,2258000,1764000,0.218778,low
HRA00002504,USR000990,2026-04-25T02:00:00,insured,318000,411000,553000,3,699000,2258000,1559000,0.309566,developing
HRA00002505,USR000990,2026-06-16T02:00:00,partial,573000,33000,53000,5,946000,2258000,1312000,0.418955,developing
HRA00002506,USR000990,2026-08-10T02:00:00,uninsured,523000,234000,351000,5,1356000,2258000,902000,0.600531,moderate
HRA00002507,USR000991,2025-10-17T08:00:00,uninsured,527000,346000,103000,4,14000,439000,425000,0.031891,low
HRA00002508,USR000991,2025-12-04T08:00:00,insured,277000,54000,474000,5,23000,439000,416000,0.052392,low
HRA00002509,USR000991,2026-01-21T08:00:00,insured,108000,175000,541000,2,0,439000,439000,0.0,low
HRA00002510,USR000991,2026-03-19T08:00:00,partial,307000,79000,377000,5,0,439000,439000,0.0,low
HRA00002511,USR000991,2026-05-03T08:00:00,insured,64000,157000,186000,1,0,439000,439000,0.0,low
HRA00002512,USR000991,2026-06-28T08:00:00,partial,428000,43000,500000,5,14000,439000,425000,0.031891,low
HRA00002513,USR000991,2026-08-10T08:00:00,partial,397000,285000,488000,2,39000,439000,400000,0.088838,low
HRA00002514,USR000994,2025-11-18T03:00:00,uninsured,243000,154000,561000,2,878000,2126000,1248000,0.412982,developing
HRA00002515,USR000994,2026-01-01T03:00:00,partial,780000,338000,401000,2,1153000,2126000,973000,0.542333,moderate
HRA00002516,USR000994,2026-02-20T03:00:00,insured,430000,496000,153000,5,1197000,2126000,929000,0.563029,moderate
HRA00002517,USR000994,2026-04-12T03:00:00,partial,471000,469000,166000,0,1207000,2126000,919000,0.567733,moderate
HRA00002518,USR000994,2026-06-05T03:00:00,uninsured,474000,165000,478000,1,1374000,2126000,752000,0.646284,moderate
HRA00002519,USR000994,2026-07-18T03:00:00,uninsured,671000,92000,499000,5,1544000,2126000,582000,0.726246,moderate
HRA00002520,USR000994,2026-09-09T03:00:00,insured,64000,406000,645000,2,1548000,2126000,578000,0.728128,moderate
HRA00002521,USR000995,2025-11-17T15:00:00,partial,67000,195000,482000,5,901000,1424000,523000,0.632725,moderate
HRA00002522,USR000995,2026-01-03T15:00:00,insured,293000,304000,359000,3,1064000,1424000,360000,0.747191,moderate
HRA00002523,USR000995,2026-02-24T15:00:00,insured,757000,250000,303000,4,1209000,1424000,215000,0.849017,moderate
HRA00002524,USR000995,2026-04-10T15:00:00,uninsured,207000,70000,262000,1,1388000,1424000,36000,0.974719,strong
HRA00002525,USR000995,2026-06-06T15:00:00,insured,231000,124000,553000,5,1504000,1424000,0,1.05618,strong
HRA00002526,USR000995,2026-07-22T15:00:00,insured,319000,56000,107000,2,1626000,1424000,0,1.141854,strong
HRA00002527,USR000995,2026-09-13T15:00:00,partial,640000,326000,59000,2,1765000,1424000,0,1.239466,strong
HRA00002528,USR000996,2026-01-13T02:00:00,partial,318000,423000,126000,3,371000,1160000,789000,0.319828,developing
HRA00002529,USR000996,2026-03-07T02:00:00,partial,501000,151000,421000,2,499000,1160000,661000,0.430172,developing
HRA00002530,USR000996,2026-04-22T02:00:00,partial,394000,448000,543000,5,585000,1160000,575000,0.50431,moderate
HRA00002531,USR000996,2026-06-09T02:00:00,uninsured,782000,362000,642000,4,749000,1160000,411000,0.64569,moderate
HRA00002532,USR000996,2026-07-31T02:00:00,insured,490000,219000,358000,4,804000,1160000,356000,0.693103,moderate
HRA00002533,USR000997,2025-12-20T08:00:00,partial,493000,436000,271000,4,336000,478000,142000,0.702929,moderate
HRA00002534,USR000997,2026-02-07T08:00:00,uninsured,552000,150000,504000,5,401000,478000,77000,0.838912,moderate
HRA00002535,USR000997,2026-03-25T08:00:00,insured,272000,190000,264000,1,456000,478000,22000,0.953975,strong
HRA00002536,USR000997,2026-05-16T08:00:00,insured,379000,482000,476000,5,485000,478000,0,1.014644,strong
HRA00002537,USR000997,2026-07-03T08:00:00,insured,598000,130000,140000,1,561000,478000,0,1.17364,strong
HRA00002538,USR000997,2026-08-21T08:00:00,uninsured,581000,149000,353000,4,611000,478000,0,1.278243,strong
HRA00002539,USR001000,2025-11-05T18:00:00,insured,758000,314000,443000,4,326000,673000,347000,0.484398,developing
HRA00002540,USR001000,2025-12-21T18:00:00,uninsured,421000,427000,136000,3,310000,673000,363000,0.460624,developing
HRA00002541,USR001000,2026-02-16T18:00:00,insured,301000,220000,357000,3,311000,673000,362000,0.46211,developing
HRA00002542,USR001000,2026-04-06T18:00:00,uninsured,605000,392000,214000,1,266000,673000,407000,0.395245,developing
HRA00002543,USR001000,2026-05-21T18:00:00,insured,117000,182000,469000,1,261000,673000,412000,0.387816,developing
HRA00002544,USR001000,2026-07-16T18:00:00,uninsured,320000,258000,280000,3,282000,673000,391000,0.419019,developing
HRA00002545,USR001000,2026-09-02T18:00:00,uninsured,677000,382000,573000,1,223000,673000,450000,0.331352,developing
HRA00002546,USR001002,2025-12-13T22:00:00,partial,344000,20000,250000,0,159000,191000,32000,0.832461,moderate
HRA00002547,USR001002,2026-01-31T22:00:00,insured,734000,320000,466000,5,161000,191000,30000,0.842932,moderate
HRA00002548,USR001002,2026-03-19T22:00:00,insured,387000,150000,416000,5,175000,191000,16000,0.91623,strong
HRA00002549,USR001002,2026-05-15T22:00:00,partial,614000,442000,419000,2,182000,191000,9000,0.95288,strong
HRA00002550,USR001002,2026-07-04T22:00:00,insured,379000,469000,86000,5,183000,191000,8000,0.958115,strong
HRA00002551,USR001002,2026-08-24T22:00:00,insured,86000,212000,292000,4,198000,191000,0,1.036649,strong
HRA00002552,USR001005,2025-12-21T01:00:00,insured,563000,93000,630000,1,1045000,1715000,670000,0.609329,moderate
HRA00002553,USR001005,2026-02-02T01:00:00,partial,528000,416000,116000,3,1156000,1715000,559000,0.674052,moderate
HRA00002554,USR001005,2026-04-01T01:00:00,insured,734000,319000,222000,0,1286000,1715000,429000,0.749854,moderate
HRA00002555,USR001005,2026-05-18T01:00:00,partial,236000,254000,376000,4,1402000,1715000,313000,0.817493,moderate
HRA00002556,USR001005,2026-07-03T01:00:00,partial,570000,364000,576000,3,1517000,1715000,198000,0.884548,strong
HRA00002557,USR001005,2026-08-23T01:00:00,partial,493000,251000,197000,0,1725000,1715000,0,1.005831,strong
HRA00002558,USR001007,2025-11-25T18:00:00,insured,723000,454000,128000,0,640000,2406000,1766000,0.266002,developing
HRA00002559,USR001007,2026-01-16T18:00:00,partial,595000,454000,221000,3,968000,2406000,1438000,0.402328,developing
HRA00002560,USR001007,2026-03-03T18:00:00,insured,686000,481000,214000,3,1052000,2406000,1354000,0.43724,developing
HRA00002561,USR001007,2026-04-23T18:00:00,insured,733000,398000,647000,3,1198000,2406000,1208000,0.497922,developing
HRA00002562,USR001007,2026-06-12T18:00:00,partial,128000,414000,407000,2,1370000,2406000,1036000,0.56941,moderate
HRA00002563,USR001007,2026-07-30T18:00:00,insured,341000,486000,104000,1,1477000,2406000,929000,0.613882,moderate
HRA00002564,USR001008,2025-11-11T20:00:00,uninsured,263000,366000,511000,3,775000,858000,83000,0.903263,strong
HRA00002565,USR001008,2025-12-31T20:00:00,insured,317000,434000,676000,4,862000,858000,0,1.004662,strong
HRA00002566,USR001008,2026-02-17T20:00:00,insured,127000,105000,109000,2,957000,858000,0,1.115385,strong
HRA00002567,USR001008,2026-04-07T20:00:00,insured,147000,289000,692000,3,1100000,858000,0,1.282051,strong
HRA00002568,USR001008,2026-05-26T20:00:00,partial,127000,16000,358000,1,1246000,858000,0,1.452214,strong
HRA00002569,USR001008,2026-07-18T20:00:00,insured,483000,469000,195000,4,1328000,858000,0,1.547786,strong
HRA00002570,USR001008,2026-09-03T20:00:00,insured,342000,327000,608000,3,1437000,858000,0,1.674825,strong
HRA00002571,USR001012,2026-02-10T11:00:00,partial,252000,256000,237000,1,726000,1508000,782000,0.481432,developing
HRA00002572,USR001012,2026-04-02T11:00:00,uninsured,558000,361000,60000,3,704000,1508000,804000,0.466844,developing
HRA00002573,USR001012,2026-05-16T11:00:00,uninsured,244000,480000,529000,0,707000,1508000,801000,0.468833,developing
HRA00002574,USR001012,2026-07-05T11:00:00,uninsured,791000,277000,318000,5,764000,1508000,744000,0.506631,moderate
HRA00002575,USR001012,2026-08-29T11:00:00,partial,788000,145000,690000,2,758000,1508000,750000,0.502653,moderate
HRA00002576,USR001014,2025-10-23T02:00:00,uninsured,232000,383000,553000,5,522000,1625000,1103000,0.321231,developing
HRA00002577,USR001014,2025-12-09T02:00:00,insured,292000,167000,280000,0,870000,1625000,755000,0.535385,moderate
HRA00002578,USR001014,2026-01-31T02:00:00,partial,218000,456000,697000,3,1217000,1625000,408000,0.748923,moderate
HRA00002579,USR001014,2026-03-19T02:00:00,uninsured,527000,60000,499000,0,1617000,1625000,8000,0.995077,strong
HRA00002580,USR001014,2026-05-09T02:00:00,partial,64000,298000,343000,1,1940000,1625000,0,1.193846,strong
HRA00002581,USR001014,2026-06-24T02:00:00,uninsured,453000,433000,492000,0,2228000,1625000,0,1.371077,strong
HRA00002582,USR001014,2026-08-17T02:00:00,uninsured,663000,352000,533000,4,2616000,1625000,0,1.609846,strong
HRA00002583,USR001016,2025-10-06T11:00:00,partial,50000,242000,622000,5,226000,1809000,1583000,0.124931,low
HRA00002584,USR001016,2025-11-27T11:00:00,insured,323000,134000,406000,4,168000,1809000,1641000,0.092869,low
HRA00002585,USR001016,2026-01-17T11:00:00,insured,268000,309000,280000,5,214000,1809000,1595000,0.118297,low
HRA00002586,USR001016,2026-03-06T11:00:00,insured,86000,131000,75000,5,161000,1809000,1648000,0.088999,low
HRA00002587,USR001016,2026-04-27T11:00:00,uninsured,470000,410000,468000,2,107000,1809000,1702000,0.059149,low
HRA00002588,USR001016,2026-06-14T11:00:00,insured,277000,111000,628000,5,20000,1809000,1789000,0.011056,low
HRA00002589,USR001016,2026-08-01T11:00:00,partial,253000,488000,244000,1,118000,1809000,1691000,0.065229,low
HRA00002590,USR001018,2026-02-22T17:00:00,partial,495000,239000,56000,5,571000,1492000,921000,0.382708,developing
HRA00002591,USR001018,2026-04-09T17:00:00,uninsured,519000,69000,452000,5,568000,1492000,924000,0.380697,developing
HRA00002592,USR001018,2026-06-04T17:00:00,insured,646000,264000,276000,3,554000,1492000,938000,0.371314,developing
HRA00002593,USR001018,2026-07-25T17:00:00,partial,586000,13000,296000,5,658000,1492000,834000,0.441019,developing
HRA00002594,USR001018,2026-09-08T17:00:00,uninsured,764000,492000,528000,4,600000,1492000,892000,0.402145,developing
HRA00002595,USR001019,2025-11-30T12:00:00,insured,292000,365000,623000,5,1549000,2411000,862000,0.642472,moderate
HRA00002596,USR001019,2026-01-13T12:00:00,partial,767000,328000,125000,0,1587000,2411000,824000,0.658233,moderate
HRA00002597,USR001019,2026-03-07T12:00:00,partial,543000,444000,64000,4,1620000,2411000,791000,0.67192,moderate
HRA00002598,USR001019,2026-04-30T12:00:00,insured,770000,55000,489000,2,1646000,2411000,765000,0.682704,moderate
HRA00002599,USR001019,2026-06-20T12:00:00,partial,72000,210000,123000,2,1671000,2411000,740000,0.693073,moderate
HRA00002600,USR001019,2026-08-03T12:00:00,insured,236000,278000,386000,2,1652000,2411000,759000,0.685193,moderate
HRA00002601,USR001020,2025-10-09T05:00:00,partial,345000,373000,111000,4,107000,840000,733000,0.127381,low
HRA00002602,USR001020,2025-11-28T05:00:00,uninsured,593000,257000,212000,3,144000,840000,696000,0.171429,low
HRA00002603,USR001020,2026-01-13T05:00:00,insured,346000,107000,447000,5,171000,840000,669000,0.203571,low
HRA00002604,USR001020,2026-03-08T05:00:00,insured,509000,380000,247000,5,172000,840000,668000,0.204762,low
HRA00002605,USR001020,2026-04-23T05:00:00,insured,571000,166000,253000,4,237000,840000,603000,0.282143,developing
HRA00002606,USR001020,2026-06-17T05:00:00,partial,490000,140000,342000,3,299000,840000,541000,0.355952,developing
HRA00002607,USR001020,2026-08-06T05:00:00,insured,59000,107000,168000,2,372000,840000,468000,0.442857,developing
HRA00002608,USR001022,2025-11-23T04:00:00,insured,277000,70000,363000,0,60000,598000,538000,0.100334,low
HRA00002609,USR001022,2026-01-13T04:00:00,uninsured,517000,86000,229000,4,75000,598000,523000,0.125418,low
HRA00002610,USR001022,2026-02-26T04:00:00,insured,176000,286000,174000,4,55000,598000,543000,0.091973,low
HRA00002611,USR001022,2026-04-21T04:00:00,uninsured,594000,81000,182000,0,56000,598000,542000,0.093645,low
HRA00002612,USR001022,2026-06-08T04:00:00,partial,518000,354000,349000,3,25000,598000,573000,0.041806,low
HRA00002613,USR001022,2026-08-01T04:00:00,insured,651000,146000,610000,5,0,598000,598000,0.0,low
HRA00002614,USR001023,2025-12-15T21:00:00,uninsured,554000,67000,75000,5,1092000,1635000,543000,0.66789,moderate
HRA00002615,USR001023,2026-02-02T21:00:00,uninsured,533000,74000,127000,4,1206000,1635000,429000,0.737615,moderate
HRA00002616,USR001023,2026-03-21T21:00:00,insured,707000,68000,533000,0,1202000,1635000,433000,0.735168,moderate
HRA00002617,USR001023,2026-05-14T21:00:00,insured,244000,491000,577000,4,1384000,1635000,251000,0.846483,moderate
HRA00002618,USR001023,2026-07-06T21:00:00,insured,124000,331000,51000,2,1507000,1635000,128000,0.921713,strong
HRA00002619,USR001023,2026-08-19T21:00:00,uninsured,541000,434000,246000,0,1604000,1635000,31000,0.98104,strong
HRA00002620,USR001025,2025-11-25T20:00:00,insured,555000,166000,305000,3,2074000,2204000,130000,0.941016,strong
HRA00002621,USR001025,2026-01-12T20:00:00,partial,255000,312000,699000,0,2407000,2204000,0,1.092105,strong
HRA00002622,USR001025,2026-03-03T20:00:00,insured,170000,407000,90000,1,2824000,2204000,0,1.281307,strong
HRA00002623,USR001025,2026-04-22T20:00:00,partial,244000,423000,573000,0,3191000,2204000,0,1.447822,strong
HRA00002624,USR001025,2026-06-15T20:00:00,insured,388000,192000,179000,5,3529000,2204000,0,1.60118,strong
HRA00002625,USR001025,2026-07-29T20:00:00,partial,87000,408000,104000,0,4080000,2204000,0,1.85118,strong
HRA00002626,USR001027,2026-02-12T09:00:00,partial,100000,142000,359000,1,1005000,1476000,471000,0.680894,moderate
HRA00002627,USR001027,2026-03-30T09:00:00,insured,568000,154000,485000,0,951000,1476000,525000,0.644309,moderate
HRA00002628,USR001027,2026-05-22T09:00:00,uninsured,588000,335000,393000,5,1000000,1476000,476000,0.677507,moderate
HRA00002629,USR001027,2026-07-16T09:00:00,insured,711000,92000,229000,2,1022000,1476000,454000,0.692412,moderate
HRA00002630,USR001027,2026-09-02T09:00:00,partial,755000,493000,279000,5,1149000,1476000,327000,0.778455,moderate
HRA00002631,USR001030,2025-12-10T15:00:00,insured,675000,90000,290000,1,588000,720000,132000,0.816667,moderate
HRA00002632,USR001030,2026-01-27T15:00:00,uninsured,119000,467000,629000,3,603000,720000,117000,0.8375,moderate
HRA00002633,USR001030,2026-03-20T15:00:00,insured,644000,214000,655000,4,650000,720000,70000,0.902778,strong
HRA00002634,USR001030,2026-05-11T15:00:00,insured,297000,106000,562000,1,669000,720000,51000,0.929167,strong
HRA00002635,USR001030,2026-07-01T15:00:00,insured,520000,155000,81000,4,680000,720000,40000,0.944444,strong
HRA00002636,USR001030,2026-08-14T15:00:00,uninsured,621000,21000,552000,2,757000,720000,0,1.051389,strong
HRA00002637,USR001031,2026-01-23T19:00:00,partial,673000,44000,453000,3,418000,2075000,1657000,0.201446,low
HRA00002638,USR001031,2026-03-14T19:00:00,insured,645000,39000,652000,4,530000,2075000,1545000,0.255422,developing
HRA00002639,USR001031,2026-04-30T19:00:00,uninsured,396000,194000,108000,0,664000,2075000,1411000,0.32,developing
HRA00002640,USR001031,2026-06-22T19:00:00,uninsured,373000,286000,242000,1,668000,2075000,1407000,0.321928,developing
HRA00002641,USR001031,2026-08-05T19:00:00,insured,150000,494000,521000,2,873000,2075000,1202000,0.420723,developing
HRA00002642,USR001032,2026-01-26T12:00:00,partial,173000,9000,693000,0,972000,2452000,1480000,0.396411,developing
HRA00002643,USR001032,2026-03-20T12:00:00,partial,93000,49000,484000,1,884000,2452000,1568000,0.360522,developing
HRA00002644,USR001032,2026-05-09T12:00:00,insured,239000,224000,608000,5,855000,2452000,1597000,0.348695,developing
HRA00002645,USR001032,2026-06-26T12:00:00,insured,418000,464000,631000,2,938000,2452000,1514000,0.382545,developing
HRA00002646,USR001032,2026-08-12T12:00:00,insured,601000,306000,109000,0,826000,2452000,1626000,0.336868,developing
HRA00002647,USR001037,2026-02-11T10:00:00,uninsured,157000,256000,383000,3,639000,946000,307000,0.675476,moderate
HRA00002648,USR001037,2026-04-01T10:00:00,insured,237000,451000,698000,1,704000,946000,242000,0.744186,moderate
HRA00002649,USR001037,2026-05-25T10:00:00,insured,312000,388000,112000,1,722000,946000,224000,0.763214,moderate
HRA00002650,USR001037,2026-07-09T10:00:00,uninsured,796000,384000,541000,4,735000,946000,211000,0.776956,moderate
HRA00002651,USR001037,2026-08-31T10:00:00,partial,707000,186000,207000,5,780000,946000,166000,0.824524,moderate
HRA00002652,USR001046,2025-12-10T09:00:00,insured,175000,357000,509000,0,725000,813000,88000,0.891759,strong
HRA00002653,USR001046,2026-01-29T09:00:00,insured,371000,416000,430000,3,747000,813000,66000,0.918819,strong
HRA00002654,USR001046,2026-03-12T09:00:00,uninsured,246000,492000,317000,2,727000,813000,86000,0.894219,strong
HRA00002655,USR001046,2026-05-09T09:00:00,partial,228000,148000,512000,4,710000,813000,103000,0.873309,strong
HRA00002656,USR001046,2026-06-22T09:00:00,partial,596000,291000,275000,2,702000,813000,111000,0.863469,strong
HRA00002657,USR001046,2026-08-13T09:00:00,uninsured,457000,150000,393000,3,689000,813000,124000,0.847478,moderate
HRA00002658,USR001048,2025-12-12T11:00:00,insured,80000,433000,684000,4,0,1373000,1373000,0.0,low
HRA00002659,USR001048,2026-01-31T11:00:00,insured,134000,144000,233000,0,0,1373000,1373000,0.0,low
HRA00002660,USR001048,2026-03-24T11:00:00,partial,683000,223000,634000,1,0,1373000,1373000,0.0,low
HRA00002661,USR001048,2026-05-09T11:00:00,insured,369000,74000,354000,2,0,1373000,1373000,0.0,low
HRA00002662,USR001048,2026-06-26T11:00:00,insured,435000,21000,633000,2,0,1373000,1373000,0.0,low
HRA00002663,USR001048,2026-08-18T11:00:00,partial,588000,323000,589000,4,0,1373000,1373000,0.0,low
HRA00002664,USR001050,2025-10-07T14:00:00,partial,721000,493000,167000,5,117000,2002000,1885000,0.058442,low
HRA00002665,USR001050,2025-11-27T14:00:00,insured,679000,18000,71000,4,126000,2002000,1876000,0.062937,low
HRA00002666,USR001050,2026-01-19T14:00:00,partial,170000,213000,57000,5,72000,2002000,1930000,0.035964,low
HRA00002667,USR001050,2026-03-07T14:00:00,insured,95000,62000,356000,4,120000,2002000,1882000,0.05994,low
HRA00002668,USR001050,2026-04-29T14:00:00,partial,244000,236000,278000,4,0,2002000,2002000,0.0,low
HRA00002669,USR001050,2026-06-15T14:00:00,insured,318000,190000,539000,1,0,2002000,2002000,0.0,low
HRA00002670,USR001050,2026-07-30T14:00:00,insured,792000,458000,226000,3,0,2002000,2002000,0.0,low
HRA00002671,USR001052,2025-10-20T19:00:00,insured,156000,198000,280000,1,1027000,1830000,803000,0.561202,moderate
HRA00002672,USR001052,2025-12-05T19:00:00,uninsured,380000,83000,184000,1,1207000,1830000,623000,0.659563,moderate
HRA00002673,USR001052,2026-01-28T19:00:00,insured,709000,462000,366000,1,1338000,1830000,492000,0.731148,moderate
HRA00002674,USR001052,2026-03-13T19:00:00,uninsured,319000,127000,202000,3,1428000,1830000,402000,0.780328,moderate
HRA00002675,USR001052,2026-05-09T19:00:00,partial,768000,439000,264000,0,1619000,1830000,211000,0.884699,strong
HRA00002676,USR001052,2026-06-20T19:00:00,partial,415000,243000,275000,0,1694000,1830000,136000,0.925683,strong
HRA00002677,USR001052,2026-08-15T19:00:00,partial,85000,328000,74000,2,1733000,1830000,97000,0.946995,strong
HRA00002678,USR001053,2026-01-09T18:00:00,uninsured,209000,164000,410000,5,1477000,2342000,865000,0.630658,moderate
HRA00002679,USR001053,2026-02-24T18:00:00,partial,104000,167000,529000,4,1458000,2342000,884000,0.622545,moderate
HRA00002680,USR001053,2026-04-12T18:00:00,uninsured,326000,289000,638000,3,1294000,2342000,1048000,0.552519,moderate
HRA00002681,USR001053,2026-06-05T18:00:00,insured,440000,487000,167000,2,1293000,2342000,1049000,0.552092,moderate
HRA00002682,USR001053,2026-07-22T18:00:00,insured,461000,366000,114000,1,1365000,2342000,977000,0.582835,moderate
HRA00002683,USR001054,2025-10-28T21:00:00,insured,227000,310000,457000,0,198000,746000,548000,0.265416,developing
HRA00002684,USR001054,2025-12-16T21:00:00,insured,565000,74000,221000,5,193000,746000,553000,0.258713,developing
HRA00002685,USR001054,2026-02-01T21:00:00,insured,670000,133000,294000,3,231000,746000,515000,0.309651,developing
HRA00002686,USR001054,2026-03-25T21:00:00,uninsured,160000,28000,165000,0,236000,746000,510000,0.316354,developing
HRA00002687,USR001054,2026-05-11T21:00:00,uninsured,457000,232000,232000,1,234000,746000,512000,0.313673,developing
HRA00002688,USR001054,2026-06-30T21:00:00,uninsured,559000,386000,198000,1,273000,746000,473000,0.365952,developing
HRA00002689,USR001054,2026-08-20T21:00:00,partial,206000,250000,66000,3,329000,746000,417000,0.441019,developing
HRA00002690,USR001063,2025-11-08T10:00:00,uninsured,307000,306000,305000,5,866000,2185000,1319000,0.396339,developing
